pagetitle;topcategory;subcategory;longtitle;alias;description;introtext;content;images;catalogfull;product-sku;max-kapacitet-nosivosti;max-visina-dizanja;max-jacina-baterije;max-brzina-voznje;teziste;opcije;vrsta-motora;vucni-kapacitet;max-visina-komisioniranja;primjena-vilicara;radni-hodnik;okretni-radius
8FBMKT20;Toyota elektriÄçni Äçeoni viliÄçari Traigo 80 serija;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;ElektriÄçni Äçeoni viliÄçari Toyota Traigo 80 (kompakt) serija;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-8fbmkt20;Dizajnirani za teÅ¡ke aplikacije rada i rad s viÅ¡e paleta odjednom, ekstra izdrÅ_ljivi Toyota Traigo 80 elektro Äçeoni viliÄçari na 4 kotaÄça imaju kapacitet nosivosti od 2 do 5 tona.;;"<p class=""kratki""><strong>Dizajnirani za teke aplikacije rada i rad s vie paleta odjednom, ekstra izdrljivi Toyota Traigo 80 elektro eoni viliari na 4 kotaa imaju kapacitet nosivosti od 2 do 5 tona.</strong></p><ul><li>Kapacitet nosivosti do 2t pri teitu od 500mm</li><li>Visina dizanja do 6,5 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Izmjena baterija sa strane</li></ul><div class=""kratki""><p><span class=""hps"">Dizajniran za</span>primjenu u tekim uvjetima rada,<span class=""hps"">nai elektro eoni viliari iz</span><span class=""hps"">Traigo</span><span class=""hps"">80 i</span><span class=""hps"">7FBMF</span><span class=""hps"">serije</span><span class=""hps"">imaju 80</span><span class=""atn"">-</span>voltne<span class=""hps"">baterije</span>, amogu podii teret<span class=""hps"">do visine od 6,5</span><span class=""hps"">metara</span>.<span class=""hps"">Pogodni za aplikacije rukovanja s</span><span class=""hps"">vie</span><span class=""hps"">paleta</span>odjednom,ovi viliaris<span class=""hps"">4</span><span class=""atn"">-</span>kotaa<span class=""hps"">imaju kapacitet nosivosti</span><span class=""hps"">do</span><span class=""hps"">5</span><span class=""hps"">tona</span>.<span class=""hps"">Kombinirajui</span><span class=""hps"">snane</span><span class=""hps"">Toyota</span><span class=""hps"">AC</span><span class=""hps"">elektromotore</span><span class=""hps"">s naprednim</span><span class=""hps"">tehnologijama</span><span class=""hps"">za utedu energije</span>,<span class=""hps"">Toyota</span><span class=""hps"">Traigo80</span><span class=""hps"">i</span><span class=""hps"">7FBMF</span><span class=""hps"">jame</span><span class=""hps"">vrhunske performanse i</span><span class=""hps"">due operativno</span><span class=""hps"">vrijeme rada</span>.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/180/414_traigo-80_20-with-cabin_LO-1.jpg;https://www.skladisna-logistika.hr/assets/galleries/180/413_traigo-80_20-with-cabin_LO.jpg";http://www.skladisna-logistika.hr/upload/artikli/8fbmt20_174553.pdf;8FBMKT20;2000;6.5;465;20;500;;;;;;;1872
8FBMT20;ElektriÄçni Äçeoni viliÄçari Toyota Traigo 48;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 48 serija;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-8fbmt20;Namijenjeni za intezivnije koriÅ¡tenje, Toyota Traigo 48 elektro Äçeoni viliÄçari ukljuÄçuju modele s 3 i 4 kotaÄça, s 48 voltnom baterijom. ;;"<p class=""kratki"">Namijenjeni za intezivnije koritenje, Toyota Traigo 48 elektro eoni viliari ukljuuju modele s 3 i 4 kotaa, s 48 voltnom baterijom.</p><ul><li>Kapacitet nosivosti do 2 t pri teitu od 500 mm</li><li>Visina dizanja do 7,5 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Izmjena baterija sa strane</li></ul><div class=""kratki""><p>Izdrljive serije Toyota eonih elektrinih viliara na 3 ili 4 kotaa pogodne su za raznu upotrebu u unutranjim prostorima, ali i vanjskim, ukljuujui utovar/istovar kamiona, ulaganje u regale i horizontalni prijevoz robe. Uz mogunost izbora od 24, 48 i 80 volti, i nosivou od 1 do 8.5 tona nai elektrini eoni viliari nude visoke performanse. Svaki model je opremljen unikatnim (Toyota SAS) sistem aktivne sigurnosti i AC motorima kako bismo poboljali sigurnost vozaa, ali i produktivnost.</p></div>";https://www.skladisna-logistika.hr/assets/galleries/179/412_toyota-traigo48-20-with-cabin_LO.jpg;http://www.skladisna-logistika.hr/upload/artikli/8fbmt15_172959.pdf;8FBMT20;2000;7.5;750;20;500;;;;;;;1845
8FBMT18;ElektriÄçni Äçeoni viliÄçari Toyota Traigo 48;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 48 serija;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-8fbmt18;Namijenjeni za intezivnije koriÅ¡tenje, Toyota Traigo 48 elektro Äçeoni viliÄçari ukljuÄçuju modele s 3 i 4 kotaÄça, s 48 voltnom baterijom. ;;"<p class=""kratki""><strong>Namijenjeni za intezivnije koritenje, Toyota Traigo 48 elektro eoni viliari ukljuuju modele s 3 i 4 kotaa, s 48 voltnom baterijom.</strong></p><ul><li>Kapacitet nosivosti do 1,8 t pri teitu od 500 mm</li><li>Visina dizanja do 7,5 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Izmjena baterija sa strane</li></ul><div class=""kratki""><p>Izdrljive serije Toyota eonih elektrinih viliara na 3 ili 4 kotaa pogodne su za raznu upotrebu u unutranjim prostorima, ali i vanjskim, ukljuujui utovar/istovar kamiona, ulaganje u regale i horizontalni prijevoz robe. Uz mogunost izbora od 24, 48 i 80 volti, i nosivou od 1 do 8.5 tona nai elektrini eoni viliari nude visoke performanse. Svaki model je opremljen unikatnim (Toyota SAS) sistem aktivne sigurnosti i AC motorima kako bismo poboljali sigurnost vozaa, ali i produktivnost.</p></div>";https://www.skladisna-logistika.hr/assets/galleries/178/411_toyota-traigo48-18_LO.jpg;http://www.skladisna-logistika.hr/upload/artikli/8fbmt16_173051.pdf;8FBMT18;1800;7.5;750;20;500;;;;;;;1845
8FBMT16;ElektriÄçni Äçeoni viliÄçari Toyota Traigo 48;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 48 serija;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-8fbmt16;Namijenjeni za intezivnije koriÅ¡tenje, Toyota Traigo 48 elektro Äçeoni viliÄçari ukljuÄçuju modele s 3 i 4 kotaÄça, s 48 voltnom baterijom.;;"<p class=""kratki""><strong>Namijenjeni za intezivnije koritenje, Toyota Traigo 48 elektro eoni viliari ukljuuju modele s 3 i 4 kotaa, s 48 voltnom baterijom.</strong></p><ul><li>Kapacitet nosivosti do 1,6 t pri teitu od 500 mm</li><li>Visina dizanja do 7,5 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Izmjena baterija sa strane</li></ul><div class=""kratki""><p>Izdrljive serije Toyota eonih elektrinih viliara na 3 ili 4 kotaa pogodne su za raznu upotrebu u unutranjim prostorima, ali i vanjskim, ukljuujui utovar/istovar kamiona, ulaganje u regale i horizontalni prijevoz robe. Uz mogunost izbora od 24, 48 i 80 volti, i nosivou od 1 do 8.5 tona nai elektrini eoni viliari nude visoke performanse. Svaki model je opremljen unikatnim (Toyota SAS) sistem aktivne sigurnosti i AC motorima kako bismo poboljali sigurnost vozaa, ali i produktivnost.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/177/754_411_toyota-traigo48-18_LO.558ab5345dde08f4179dd6605a38990d.jpg;https://www.skladisna-logistika.hr/assets/galleries/177/662_toyota-traigo-48-4-wheel_LO_otvorena_vrata_za_web.jpg;https://www.skladisna-logistika.hr/assets/galleries/177/663_toyota-traigo-48_LO_baterija_izvan.jpg;https://www.skladisna-logistika.hr/assets/galleries/177/661_toyota-traigo-48_LO_pogled_kroz_kran_za_web.jpg";http://www.skladisna-logistika.hr/upload/artikli/8fbmt16_173330.pdf;8FBMT16;1600;7.5;750;20;500;;;;;;;1845
8FBMT15;ElektriÄçni Äçeoni viliÄçari Toyota Traigo 48;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 48 serija;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-8fbmt15;Namijenjeni za intezivnije koriÅ¡tenje, Toyota Traigo 48 elektro Äçeoni viliÄçari ukljuÄçuju modele s 3 i 4 kotaÄça, s 48 voltnom baterijom. ;;"<p class=""kratki""><strong>Namijenjeni za intezivnije koritenje, Toyota Traigo 48 elektro eoni viliari ukljuuju modele s 3 i 4 kotaa, s 48 voltnom baterijom.</strong></p><ul><li>Kapacitet nosivosti do 1,5 t pri teitu od 500 mm</li><li>Visina dizanja do 7,5 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Izmjena baterija sa strane</li></ul><div class=""kratki""><p>Izdrljive serije Toyota eonih elektrinih viliara na 3 ili 4 kotaa pogodne su za raznu upotrebu u unutranjim prostorima, ali i vanjskim, ukljuujui utovar/istovar kamiona, ulaganje u regale i horizontalni prijevoz robe. Uz mogunost izbora od 24, 48 i 80 volti, i nosivou od 1 do 8.5 tona nai elektrini eoni viliari nude visoke performanse. Svaki model je opremljen unikatnim (Toyota SAS) sistem aktivne sigurnosti i AC motorima kako bismo poboljali sigurnost vozaa, ali i produktivnost.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/176/753_411_toyota-traigo48-18_LO.558ab5345dde08f4179dd6605a38990d.jpg;https://www.skladisna-logistika.hr/assets/galleries/176/409_traigo-48-3w-15-side-view_LO.jpg;https://www.skladisna-logistika.hr/assets/galleries/176/408_traigo-48-3w-side-view-cabin_LO.jpg";http://www.skladisna-logistika.hr/upload/artikli/8fbmt15_17427.pdf;8FBMT15;1500;7.5;500;20;500;;;;;;;1639
8FBEKT18;Toyota elektriÄçni Äçeoni viliÄçari sa 3 kotaÄça;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 48 (kompakt) serija sa 3 kotaÄça;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-8fbekt18;Namjenjeni za intezivnije koriÅ¡tenje, Toyota Traigo 48 elektro Äçeoni viliÄçari ukljuÄçuju modele s 3 i 4 kotaÄça, s 48 voltnom baterijom. ;;"<p class=""kratki""><strong>Namjenjeni za intezivnije koritenje, Toyota Traigo 48 elektro eoni viliari ukljuuju modele s 3 i 4 kotaa, s 48 voltnom baterijom.</strong></p><ul><li>Kapacitet nosivosti do 1,8 t pri teitu od 500 mm</li><li>Visina dizanja do 7,5 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Izmjena baterija sa strane</li></ul><div><p>Elektro eoni ToyotaTraigo48viliar s 3 kotaanudi modeles kapacitetom nosivosti od 1.5 do 2toneiolakano manevriranjeu skuenim prostorima.Takoer su u ponudi kompaktni modeli 8FBEKT16 i 8FBEKT18 koji imaju manjiradijus okretanja.OpremljenijedinstvenimToyotaSASsistemom,naielektro eoni viliari s 3 ili 4 kotaadizajnirani sukako bipovealiproduktivnost,istovremeno titeivozaa.Sabonom izmjenombaterijaivisokom razinomudobnostizavozaa,oviviliari nudeboljuiskoristivost.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/278/404_traigo48-3-wheels_LO.jpg;https://www.skladisna-logistika.hr/assets/galleries/278/405_traigo-48-3-wheels_LO.jpg";http://www.skladisna-logistika.hr/upload/artikli/8fbekt18_172053.pdf;8FBEKT18;1800;7.5;625;16;500;;;;;;;1542
8FBET15;Toyota elektriÄçni Äçeoni viliÄçari sa 3 kotaÄça;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 48 serija sa 3 kotaÄça;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-8fbet15;Namjenjeni za intezivnije koriÅ¡tenje, Toyota Traigo 48 elektro Äçeoni viliÄçari ukljuÄçuju modele s 3 i 4 kotaÄça, s 48 voltnom baterijom. ;;"<p class=""kratki""><strong>Namjenjeni za intezivnije koritenje, Toyota Traigo 48 elektro eoni viliari ukljuuju modele s 3 i 4 kotaa, s 48 voltnom baterijom.</strong></p><ul><li>Kapacitet nosivosti do 1,5 t pri teitu od 500 mm</li><li>Visina dizanja do 7,5 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Izmjena baterija sa strane</li></ul><div><p>Elektro eoni ToyotaTraigo48viliar s 3 kotaanudi modeles kapacitetom nosivosti od 1.5 do 2toneiolakano manevriranjeu skuenim prostorima.Takoer su u ponudi kompaktni modeli 8FBEKT16 i 8FBEKT18 koji imaju manjiradijus okretanja.OpremljenijedinstvenimToyotaSASsistemom,naielektro eoni viliari s 3 ili 4 kotaadizajnirani sukako bipovealiproduktivnost,istovremeno titeivozaa.Sabonom izmjenombaterijaivisokom razinomudobnostizavozaa,oviviliari nudeboljuiskoristivost.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/170/396_traigo48-3-wheels_LO.jpg;https://www.skladisna-logistika.hr/assets/galleries/170/397_traigo-48-3-wheels_LO.jpg";http://www.skladisna-logistika.hr/upload/artikli/8fbet15_17182.pdf;8FBET15;1500;7.5;750;16;500;;;;;;;1434
8FBET20;Toyota elektriÄçni Äçeoni viliÄçari sa 3 kotaÄça;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 48 serija sa 3 kotaÄça;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-8fbet20;Namjenjeni za intezivnije koriÅ¡tenje, Toyota Traigo 48 elektro Äçeoni viliÄçari ukljuÄçuju modele s 3 i 4 kotaÄça, s 48 voltnom baterijom. ;;"<p class=""kratki""><strong>Namjenjeni za intezivnije koritenje, Toyota Traigo 48 elektro eoni viliari ukljuuju modele s 3 i 4 kotaa, s 48 voltnom baterijom.</strong></p><ul><li>Kapacitet nosivosti do 2 t pri teitu od 500 mm</li><li>Visina dizanja do 7,5 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Izmjena baterija sa strane</li></ul><div><p>Elektro eoni ToyotaTraigo48viliar s 3 kotaanudi modeles kapacitetom nosivosti od 1.5 do 2toneiolakano manevriranjeu skuenim prostorima.Takoer su u ponudi kompaktni modeli 8FBEKT16 i 8FBEKT18 koji imaju manjiradijus okretanja.OpremljenijedinstvenimToyotaSASsistemom,naielektro eoni viliari s 3 ili 4 kotaadizajnirani sukako bipovealiproduktivnost,istovremeno titeivozaa.Sabonom izmjenombaterijaivisokom razinomudobnostizavozaa,oviviliari nudeboljuiskoristivost.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/279/407_traigo48-3-wheels_LO.jpg;https://www.skladisna-logistika.hr/assets/galleries/279/406_traigo-48-3-wheels_LO.jpg";http://www.skladisna-logistika.hr/upload/artikli/8fbet20_172258.pdf;8FBET20;2000;7.5;750;16;500;;;;;;;1650
8FBET18;Toyota elektriÄçni Äçeoni viliÄçari sa 3 kotaÄça;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 48 serija sa 3 kotaÄça;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-8fbet18;Namjenjeni za intezivnije koriÅ¡tenje, Toyota Traigo 48 elektro Äçeoni viliÄçari ukljuÄçuju modele s 3 i 4 kotaÄça, s 48 voltnom baterijom. ;;"<p class=""kratki""><strong>Namjenjeni za intezivnije koritenje, Toyota Traigo 48 elektro eoni viliari ukljuuju modele s 3 i 4 kotaa, s 48 voltnom baterijom.</strong></p><ul><li>Kapacitet nosivosti do 1,8 t pri teitu od 500 mm</li><li>Visina dizanja do 7,5 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Izmjena baterija sa strane</li></ul><div><p>Elektro eoni ToyotaTraigo48viliar s 3 kotaanudi modeles kapacitetom nosivosti od 1.5 do 2toneiolakano manevriranjeu skuenim prostorima.Takoer su u ponudi kompaktni modeli 8FBEKT16 i 8FBEKT18 koji imaju manjiradijus okretanja.OpremljenijedinstvenimToyotaSASsistemom,naielektro eoni viliari s 3 ili 4 kotaadizajnirani sukako bipovealiproduktivnost,istovremeno titeivozaa.Sabonom izmjenombaterijaivisokom razinomudobnostizavozaa,oviviliari nudeboljuiskoristivost.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/277/403_traigo48-3-wheels_LO.jpg;https://www.skladisna-logistika.hr/assets/galleries/277/402_traigo-48-3-wheels_LO.jpg";http://www.skladisna-logistika.hr/upload/artikli/8fbet18_172140.pdf;8FBET18;1800;7.5;750;16;500;;;;;;;1650
8FBEKT16;Toyota elektriÄçni Äçeoni viliÄçari sa 3 kotaÄça;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 48 (kompakt) serija sa 3 kotaÄça;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-8fbekt16;Namjenjeni za intezivnije koriÅ¡tenje, Toyota Traigo 48 elektro Äçeoni viliÄçari ukljuÄçuju modele s 3 i 4 kotaÄça, s 48 voltnom baterijom. ;;"<p class=""kratki""><strong>Namjenjeni za intezivnije koritenje, Toyota Traigo 48 elektro eoni viliari ukljuuju modele s 3 i 4 kotaa, s 48 voltnom baterijom.</strong></p><ul><li>Kapacitet nosivosti do 1,6 t pri teitu od 500 mm</li><li>Visina dizanja do 7,5 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Izmjena baterija sa strane</li></ul><div><p>Elektro eoni ToyotaTraigo48viliar s 3 kotaanudi modeles kapacitetom nosivosti od 1.5 do 2toneiolakano manevriranjeu skuenim prostorima.Takoer su u ponudi kompaktni modeli 8FBEKT16 i 8FBEKT18 koji imaju manjiradijus okretanja.OpremljenijedinstvenimToyotaSASsistemom,naielektro eoni viliari s 3 ili 4 kotaadizajnirani sukako bipovealiproduktivnost,istovremeno titeivozaa.Sabonom izmjenombaterijaivisokom razinomudobnostizavozaa,oviviliari nudeboljuiskoristivost.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/275/398_traigo48-3-wheels_LO.jpg;https://www.skladisna-logistika.hr/assets/galleries/275/399_traigo-48-3-wheels_LO.jpg";http://www.skladisna-logistika.hr/upload/artikli/8fbekt16_171838.pdf;8FBEKT16;1600;7.5;625;16;500;;;;;;;1542
8FBET16;Toyota elektriÄçni Äçeoni viliÄçari sa 3 kotaÄça;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 48 serija sa 3 kotaÄça;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-8fbet16;Namjenjeni za intezivnije koriÅ¡tenje, Toyota Traigo 48 elektro Äçeoni viliÄçari ukljuÄçuju modele s 3 i 4 kotaÄça, s 48 voltnom baterijom. ;;"<p class=""kratki""><strong>Namjenjeni za intezivnije koritenje, Toyota Traigo 48 elektro eoni viliari ukljuuju modele s 3 i 4 kotaa, s 48 voltnom baterijom.</strong></p><ul><li>Kapacitet nosivosti do 1,6 t pri teitu od 500 mm</li><li>Visina dizanja do 7,5 m</li><li>Toyota SAS sa kontrolom krana, sinkroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Izmjena baterija sa strane</li></ul><div><p>Elektro eoni ToyotaTraigo48viliar s 3 kotaanudi modeles kapacitetom nosivosti od 1.5 do 2toneiolakano manevriranjeu skuenim prostorima.Takoer su u ponudi kompaktni modeli 8FBEKT16 i 8FBEKT18 koji imaju manjiradijus okretanja.OpremljenijedinstvenimToyotaSASsistemom,naielektro eoni viliari s 3 ili 4 kotaadizajnirani sukako bipovealiproduktivnost,istovremeno titeivozaa.Sabonom izmjenombaterijaivisokom razinomudobnostizavozaa,oviviliari nudeboljuiskoristivost.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/276/401_traigo48-3-wheels_LO.jpg;https://www.skladisna-logistika.hr/assets/galleries/276/400_traigo-48-3-wheels_LO.jpg";http://www.skladisna-logistika.hr/upload/artikli/8fbet16_17202.pdf;8FBET16;1600;7.5;750;16;500;;;;;;;1650
7FBEST15;Toyota elektriÄçni Äçeoni viliÄçari Traigo 24 serija;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 24 serija;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-7fbest15;ElektriÄçni Äçeoni viliÄçar Toyota Traigo 24 pogodni su za lake i srednje aplikacije manipulacije teretom, proizvedeni su s tri kotaÄça, kompaktnim dizajnom zbog kojeg su idealni za rad u skuÄçenim prostorima.;;"<p class=""kratki""><strong>Elektrini eoni viliar Toyota Traigo 24 pogodni su za lake i srednje aplikacije manipulacije teretom, proizvedeni su s tri kotaa, kompaktnim dizajnom zbog kojeg su idealni za rad u skuenim prostorima.</strong></p><ul><li>Kapacitet nosivosti do 1,5t pri teitu od 500 mm</li><li>Visina dizanja do 6,5 m</li><li>Toyota SAS sa kontrolom krana, sinhroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Niska ulazna stepenica</li></ul><div class=""kratki""><p>Najkompaktniji od svih naih elektro eonih viliara su<span class=""hps"">modeli</span><span class=""hps"">Toyota</span><span class=""hps"">Traigo</span><span class=""hps"">24 s tri kotaa.</span>Ovaj elektro eoni viliar ima sposobnost lakog<span class=""hps"">manevriranja u</span><span class=""hps"">skuenim prostorima. Moe biti opremljen raznim kabinama</span><span class=""hps"">za</span><span class=""hps"">unutarnju i vanjsku</span><span class=""hps"">uporabu</span>,a takoer je opremljen <span class=""hps"">Toyota</span><span class=""hps"">SAS sistemom i</span><span class=""hps"">i</span><span class=""hps"">snanim</span>AC<span class=""hps"">motorima to mu daje</span><span class=""hps"">maksimalnu</span><span class=""hps"">sigurnost</span><span class=""hps"">i produktivnost</span>.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/169/395_391_toyota-traigo24-15_LO-1.b17e5f9909da19eb6632948e8f90765f.jpg;https://www.skladisna-logistika.hr/assets/galleries/169/394_390_toyota-traigo-24_LO-1.b17e5f9909da19eb6632948e8f90765f.jpg";http://www.skladisna-logistika.hr/upload/artikli/7fbest15_171651.pdf;7FBEST15;1500;6.5;1000;12.5;500;;;;;;;1450
7FBEST13;Toyota elektriÄçni Äçeoni viliÄçari Traigo 24 serija;ElektriÄçni Äçeoni viliÄçari - Toyota Traigo serije;Toyota elektriÄçni Äçeoni viliÄçari Traigo 24 serija;elektriÄçni-Äçeoni-viliÄçar-toyota-traigo-7fbest13;ElektriÄçni Äçeoni viliÄçar Toyota Traigo 24 pogodni su za lake i srednje aplikacije manipulacije teretom, proizvedeni su s tri kotaÄça, kompaktnim dizajnom zbog kojeg su idealni za rad u skuÄçenim prostorima.;;"<p class=""kratki""><strong>Elektrini eoni viliar Toyota Traigo 24 pogodni su za lake i srednje aplikacije manipulacije teretom, proizvedeni su s tri kotaa, kompaktnim dizajnom zbog kojeg su idealni za rad u skuenim prostorima.</strong></p><ul><li>Kapacitet nosivosti do 1,3t pri teitu od 500 mm</li><li>Visina dizanja do 6,5 m</li><li>Toyota SAS sa kontrolom krana, sinhroniziranim upravljanjem i redukcijom brzine prilikom skretanja</li><li>AC tehnologija</li><li>Mogunost izbora ruica za upravljanje</li><li>Niska ulazna stepenica</li></ul><div class=""kratki""><p>Najkompaktniji od svih naih elektro eonih viliara su<span class=""hps"">modeli</span><span class=""hps"">Toyota</span><span class=""hps"">Traigo</span><span class=""hps"">24 s tri kotaa.</span>Ovaj elektro eoni viliar ima sposobnost lakog<span class=""hps"">manevriranja u</span><span class=""hps"">skuenim prostorima. Moe biti opremljen raznim kabinama</span><span class=""hps"">za</span><span class=""hps"">unutarnju i vanjsku</span><span class=""hps"">uporabu</span>,a takoer je opremljen <span class=""hps"">Toyota</span><span class=""hps"">SAS sistemom i</span><span class=""hps"">i</span><span class=""hps"">snanim</span>AC<span class=""hps"">motorima to mu daje</span><span class=""hps"">maksimalnu</span><span class=""hps"">sigurnost</span><span class=""hps"">i produktivnost</span>.</p></div>";"https://www.skladisna-logistika.hr/assets/galleries/168/393_391_toyota-traigo24-15_LO-1.b17e5f9909da19eb6632948e8f90765f.jpg;https://www.skladisna-logistika.hr/assets/galleries/168/392_390_toyota-traigo-24_LO-1.b17e5f9909da19eb6632948e8f90765f.jpg";http://www.skladisna-logistika.hr/upload/artikli/7fbest13_17166.pdf;7FBEST13;1250;6.5 ;875;12.5 ;500;;;;;;;1400
